;country;total_pop;med.age;prct_close_relat;prct_rpt_crime;prct_env_satis_high;prct_env_satis_med;prct_env_satis_low;prct_job_satis_high;prct_job_satis_med;prct_job_satis_low;prct_leisure_satis_high;prct_leisure_satis_med;prct_leisure_satis_low;life_expect;prct_life_satis_high;prct_life_satis_med;prct_life_satis_low;prct_low_savings;prct_budget_veryhard;prct_budget_hard;prct_budget_somehard;prct_budget_someeasy;prct_budget_easy;prct_budget_veryeasy;median_income;prct_health_verygood;prct_health_good;prct_health_fair;prct_health_bad;prct_health_verybad;prct_rpt_pollution;legal_trust_rating;police_trust_rating;political_trust_rating;med_income_underemp;unemp_rate;avg_hrs_worked;avg_temp;avg_high_temp;avg_low_temp;avg_precipitation;corprate_tax;income_tax;vat_rate;country_gdp_rank;gpd_millions_$;gdp_agri_rate;agri_rank;gpd_ind_rate;ind_rank;gdp_serv_rate;serv_rank;Corruption_rate
22;Norway;5,378,857;40;97.1;4.6;48.1;45.8;6.1;39.1;53.6;7.2;30.2;45.3;24.5;82.5;35.6;54.1;10.3;18.1;2;3.4;8.7;29.8;33.9;22.2;27670;28.8;48.4;15.1;6.4;1.3;6.8;7.2;7.5;5.9;7.7;4.7;33.8;39.8;44.1;33.8;44.2;22;46.4;25;30;392,100;2.3;47;33.7;29;64;28;84
23;Poland;37,887,768;42;95.9;5.6;39.7;42;18.2;32;48.2;19.8;27.8;42.3;29.9;78;29.4;50.7;19.9;37.9;8.4;16.4;38.2;26.5;8.3;2.2;10865;15.9;42.7;27.8;11;2.7;11.4;4.2;5.2;3.5;6.4;6.2;40.7;44.6;56.2;33.8;24.6;19;32;23;24;510,000;2.4;41;40.2;20;57.4;26;60
24;Portugal;10,226,187;46;90.4;7.8;19.6;42.6;37.8;24.5;50.4;25.1;23.9;40.6;35.5;81.3;13.8;45.7;40.5;38.3;17;19.7;34.5;21.3;7;0.5;10805;8.7;39;36.4;12.1;3.8;13.1;2.9;5.4;1.7;9.1;11.2;39.4;60.4;68.3;54.2;32.5;21;61;23;47;211,700;2.2;78;22.1;58;75.7;44;64
25;Romania;19,364,557;43;95.6;14.1;29.1;55.8;15;20.4;61.6;18;18;59.6;22.4;75.3;19.7;63.7;16.7;54.5;18.1;26;40.9;11.7;2.6;0.7;4724;26.6;43.9;22.3;6;1.2;14.5;5.8;6.4;4.8;8.2;5.9;39.9;47.6;57.1;41.1;24.7;16;10;19;50;204,900;4.2;51;33.2;51;62.6;48;47
26;Slovakia;5,457,013;41;97.9;6.9;22.8;48.9;28.3;29.2;48.5;22.3;26.6;44;29.4;77.3;25;48.6;26.4;37.9;10.1;19.5;41.3;23.6;4.7;0.7;10466;22.4;44.1;21.8;9.1;2.6;9.3;3.6;4.4;3.5;6.5;9.7;40.1;43.2;53;36;26.2;22;53.1;20;66;95,000;3.8;88;35;61;61.2;63;50
27;Slovenia;2,078,654;45;96.4;8.5;42.3;40.1;17.6;29.1;51.5;19.3;24.7;45.7;29.6;81.2;20.4;55.2;24.4;41.7;8;17.9;37.2;22.8;12.2;1.8;15250;20.3;44.2;25.5;8.2;1.7;15.9;2.7;5.5;1.8;7.4;8;39.3;46.4;53.8;38.7;49.1;19;61.1;22;86;48,080;1.8;135;32.2;81;65.9;84;60
28;Spain;46,736,776;45;96.9;10.3;23.7;58.9;17.4;19.4;59.1;21.5;21.2;49;29.7;83.5;18.4;58.4;23.2;38.7;16.6;19;27;25.4;11.1;0.9;15347;15.6;56.9;20.6;5.5;1.4;10.1;3.1;5.4;1.9;14.9;19.6;37.7;60;69.3;52.3;21.7;25;43.5;21;14;1,307,000;2.6;21;23.2;16;74.2;12;58
29;Sweden;10,036,379;41;97.3;12.7;34.7;51;14.4;34.5;52.5;13;33.2;44.9;21.9;82.4;34.4;56.6;9;20.7;3.1;4.5;11.1;33.1;26.1;22.1;20955;29;46;19.2;4.5;1.2;6.3;6.7;7.1;5.5;8.5;7;36.4;40.3;46.7;33.6;22.6;22;60.1;25;23;541,900;1.6;50;33;22;65.4;24;85
30;Switzerland;8,591,365;43;95.7;10.9;41.8;46.2;12;36.6;54.9;8.5;25.8;46.7;27.5;83.7;38.5;53.5;8;21;3.7;8.9;16.5;29;30;11.9;27692;33.2;44.5;17.8;3.8;0.7;8.9;7;7.4;6.6;5.5;5;34.7;42.5;50.8;35.8;46.7;16.55;41.7;7.7;20;680,600;0.7;77;25.6;24;73.7;18;85
31;Turkey;83,579,641;30;95.9;10.7;18.3;42.3;39.5;18.3;39.5;42.2;12.2;36.4;51.5;78.1;11.1;38.6;50.3;34.4;6.8;26.3;36.1;20.2;10.1;0.5;6501;6.5;62.3;21.7;8.3;1.3;24.5;5.4;6.5;4.9;10.1;10.9;46.8;54.2;63.9;44.6;25.7;20;45.5;18;17;841,200;6.8;10;32.3;18;60.7;17;41
32;United Kingdom;67,530,172;40;93.1;16.8;38.2;50.6;11.3;28;49.6;22.4;29;41.7;29.3;81.2;27.8;53.2;19.1;38;6.8;9.5;24.3;32.9;16.5;10;17296;30.8;38.1;22.2;6.9;1.9;9;5.5;6.4;3.8;11.3;4.8;36.6;48.8;55.3;42.9;29.7;19;47;20;6;2,565,000;0.7;36;20.2;8;79.2;5;80
